Arm,Type,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols),Label
9q,THYM,0.17455182049516527,1.3826712905497371,0.970337138649568,1.0308810053768005,0.06828325,0.3026490153530239,-2.368148393541345,0.7869299147941176,,,,,0.360409239850679,1.3910496339877565,,0.005535055,0.011070111,-0.5327548378581944,-1.954912091919488,0.0752212389380531,0
9q,UCEC,0.6223786028063103,1.1719723260033437,0.4578668327446779,0.2545982671211629,0.1433435,2.203038132517812,-1.5178123039269211,0.5286795974884058,,,,,0.46479945704156567,1.9826926349100085,1.6195435245200216,0.005535055,0.011070111,-0.572889467198666,1.3055620138737647,0.0752212389380531,-1
9q,UCS,0.6223786028063103,1.1719723260033437,0.4578668327446779,0.2545982671211629,0.1433435,2.203038132517812,-1.5178123039269211,0.5286795974884058,,,,,0.5140481516049621,1.9826926349100085,1.6195435245200216,0.005535055,0.011070111,-0.572889467198666,1.3055620138737647,0.0752212389380531,-1
10q,ACC,0.8293027380876491,1.7345534108211609,1.871317447544192,2.522824259833573,,1.814494829593592,-3.987694881579964,,,,,,0.7858803514475236,,,0.014571949,0.010928962,0.287353097994933,,0.05708245243128964,0
10q,BLCA,0.6002610533115894,1.2774758097296577,0.7287738475911903,0.6055300708194983,,,-2.502453505200558,,,,,,0.681681406603518,1.3063896899439347,2.5670959744448103,0.014571949,0.010928962,-0.9058590733558516,-0.9622410464912593,0.05708245243128964,-1
10q,BRCA,0.4554000691388457,1.8292997233856765,0.5632167564571373,1.688194301613413,0.1252615,1.8193522870186287,-1.224830237063454,0.4729355152222223,,,,,0.1817075977474337,1.3319682515920226,1.3780565231177324,0.014571949,0.010928962,-0.7412780842040192,-0.5967298966572988,0.05708245243128964,0
10q,CESC,0.3537218948543012,1.502798334484441,0.5266823857697099,0.983238084891165,,,-2.319074351958951,,,,,,0.14468369807859768,,,0.014571949,0.010928962,-0.679560213272082,,0.05708245243128964,-1
10q,COAD,0.38492175463747536,1.6855688415984793,1.107556009170597,1.737626343894653,0.117228,1.3881233657296796,-1.7194185927924899,0.5942097230714285,,,,,0.9537198891172891,1.529565768013382,1.93229182257616,0.014571949,0.010928962,-0.4326887295443335,0.13429240301062748,0.05708245243128964,0
10q,ESCA,0.38414466418694043,1.2879554746281214,1.155150942319764,0.8603090020146068,0.096533,0.7262882352886603,-1.6314637574050401,0.4385756656512605,,,,,0.060515335190930324,1.5561804301095141,1.526821261993197,0.014571949,0.010928962,-0.6178423423401449,-0.23121874682333568,0.05708245243128964,0
10q,GBM,0.7754783582291852,1.606200011157422,1.6718653877408598,1.6221448367973177,0.1230099999999999,1.783253710364867,-1.988098400282106,2.068699671275676,1.9918195610425582,1.7956970266699959,2.0173453951987526,1.9474219395629833,0.14339661770685364,,,0.014571949,0.010928962,0.20506260341901686,,0.05708245243128964,-1
10q,KICH,0.18247757953952454,1.8961221275113234,1.0806153326709755,2.4472562808629985,,,-3.0556945373544897,,1.6419060265976684,1.963369636918873,1.8033619357587936,1.9633361301933445,0.3317085819222062,1.6746946959746014,1.7302416594795778,0.014571949,0.010928962,-0.3503982349684173,-0.5967298966572988,0.05708245243128964,-1
10q,KIRC,0.18247757953952454,1.8961221275113234,1.0806153326709755,2.4472562808629985,,,-3.0556945373544897,,1.6419060265976684,1.963369636918873,1.8033619357587936,1.9633361301933445,0.3535893914298287,1.6746946959746014,1.7302416594795778,0.014571949,0.010928962,-0.3503982349684173,-0.5967298966572988,0.05708245243128964,-1
10q,KIRP,0.18247757953952454,1.8961221275113234,1.0806153326709755,2.4472562808629985,,,-3.0556945373544897,,1.6419060265976684,1.963369636918873,1.8033619357587936,1.9633361301933445,0.5658147304879697,1.6746946959746014,1.7302416594795778,0.014571949,0.010928962,-0.3503982349684173,-0.5967298966572988,0.05708245243128964,0
10q,LAML,0.5939117040826704,2.210305551814941,3.7335564871897646,3.831465555316683,0.048394,1.2874516169890464,-5.914915405018158,2.3781802781666666,,,,,0.6523381531496238,1.632667914586581,1.9672589524361213,0.014571949,0.010928962,1.6862915057855081,0.13429240301062748,0.05708245243128964,0
10q,LGG,0.7754783582291852,1.606200011157422,1.6718653877408598,1.6221448367973177,0.1230099999999999,1.783253710364867,-1.988098400282106,2.068699671275676,1.9918195610425582,1.7956970266699959,2.0173453951987526,1.9474219395629833,0.8664945013264354,,,0.014571949,0.010928962,0.20506260341901686,,0.05708245243128964,-1
10q,LIHC,0.9688979681888603,1.7109905371410714,2.802115602870776,3.175157525956,0.16931,2.2907527349988666,-6.400074482231698,0.4769467480606061,1.9930227309097344,2.261570498129265,2.0391059141158876,2.0388653503944063,0.6190343861076496,1.7851503409602092,2.015128848714389,0.014571949,0.010928962,1.5217105166336757,-0.9622410464912593,0.05708245243128964,-1
10q,LUAD,0.39299967563154703,1.8717462160970493,1.88168884887396,2.2491943231724627,0.163176,0.8506628384935169,-1.5617929153002406,1.780326615,,,,,0.34800086629199567,0.8511812935508568,0.8515584135340198,0.014571949,0.010928962,-0.45326135318831257,-0.23121874682333568,0.05708245243128964,0
10q,LUSC,0.39299967563154703,1.8717462160970493,1.88168884887396,2.2491943231724627,0.163176,0.8506628384935169,-1.5617929153002406,1.780326615,,,,,0.41220569526335554,0.8511812935508568,0.8515584135340198,0.014571949,0.010928962,-0.45326135318831257,-0.23121874682333568,0.05708245243128964,-1
10q,OV,0.37207563478289774,1.0641457008225257,1.775131420052306,1.3600423154134211,0.122866,2.3068255193161944,-2.7249541516935967,0.4424101333749999,1.2604223178746023,2.062742430456857,,,0.38948770286906426,0.9261081782119451,1.824918778691164,0.014571949,0.010928962,-0.32982561132443833,-0.9622410464912593,0.05708245243128964,0
10q,PAAD,0.777485973176699,1.8717462160970493,2.058603689416967,2.202417677340718,,1.4324358473416603,-4.81059655557727,,,,,,0.7611110924222474,1.1492712252393225,1.8751737160557436,0.014571949,0.010928962,0.5753698290106396,-2.058774495993146,0.05708245243128964,0
10q,PRAD,0.05901258000259975,1.6441249515356435,0.7476339998353185,1.6174359558286784,0.1023085,1.8631753595147889,-0.9951415286400265,0.5287610610588236,,,,,0.15047479082433177,3.2795999987241573,2.238521296125931,0.014571949,0.010928962,-0.8647138260678935,1.2308258525125142,0.05708245243128964,-1
10q,SKCM,0.6575199709557986,2.134292187853411,2.1214517682639493,2.6807959017177465,0.15359475,0.6277945865733464,-2.8411398338377656,0.7721903625892856,,,,,0.2232992740865995,1.360684328186784,1.564895998033026,0.014571949,0.010928962,0.4107888398588073,0.13429240301062748,0.05708245243128964,-1
10q,STAD,0.14040686669240773,1.5141689196084054,1.155150942319764,1.8534252575124752,0.1065589999999999,1.7094232222275436,-1.46189981859579,,,,,,0.7668417598222927,,,0.014571949,0.010928962,-0.5766970950521868,,0.05708245243128964,0
10q,TGCT,0.6197342231827505,3.7067825519603432,3.46682389580554,6.249820657398204,0.174178,1.2201189723971526,-5.658187859545048,1.1695505024686887,2.263547003498517,1.6234600202881282,2.0305101405047115,2.041232755681704,0.46387775181569957,,,0.014571949,0.010928962,1.7685820003614243,,0.05708245243128964,-1
10q,THYM,0.049402611911922675,1.4601319718212544,0.4209426415999073,1.401057801435388,0.0554205,0.4579289225448271,-2.5631285138484357,0.6619315191249999,,,,,0.12435005149224021,2.5861177244479467,,0.014571949,0.010928962,-0.6178423423401449,0.13429240301062748,0.05708245243128964,0
10q,UCEC,0.5324311051050289,1.394100326341913,0.4873587164692128,0.6055300708194983,0.127708,2.498322760614023,-1.667781435116761,0.3617239152,,,,,0.17499632664965484,1.6155928424885735,1.4473216057019849,0.014571949,0.010928962,-0.7001328369160611,-0.9622410464912593,0.05708245243128964,1
