Instance,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
THYM-6q,0.085675165,0.36236465,0.23622663,-0.6339958,-0.08508512,0.2379621,-0.012223104,0.04804336,-0.1348562,-0.059755467,-0.10687235,0.019627275,-0.042973053,1.2336715,0.4605652,0.39742526,1.4149154,0.038530976,0.2328772,0.23982137
UCEC-6q,-0.35072175,0.6223698,-0.18571825,-0.18958847,-0.52208775,0.0081237005,-0.19451943,0.05318937,-0.29665023,-0.2681098,-0.17230575,-0.0054898225,-0.03142422,0.09253099,0.57956266,-1.5809915,-0.118192755,-0.29707184,0.12693824,-0.69056636
UCS-6q,-0.18135794,0.4721274,-0.33817354,-0.23013668,-0.5338405,0.06841813,-0.27531016,0.0493236,-0.2604264,-0.27761468,-0.19071774,-0.015920784,-0.028782466,0.09888163,0.51016617,-1.4479597,-0.064595915,-0.27744758,0.24657504,0.38702968
ACC-6p,-0.43618506,-0.4571553,-0.45824587,-0.16975853,-0.110855065,-0.6622132,-0.083988115,0.051386427,-0.12614727,-0.13332555,-0.20593278,-0.038575634,-0.10427745,-1.5736595,0.20345028,0.113528386,-0.03315929,-0.036217272,-0.035286278,0.028186118
BLCA-6p,0.17327532,-0.75440854,-0.20466685,-0.11749337,-0.022286028,0.0054689543,-0.050357156,0.06456644,-0.10878006,0.5091608,-0.11123347,0.040146776,-0.06102352,-1.3928046,0.28689086,-0.5260735,-0.032079566,-0.28309193,0.12580454,0.35741755
BRCA-6p,0.24073848,-0.3947495,0.11703182,0.016911447,0.1242817,0.53314805,-0.25949478,0.08336223,-0.094527036,0.040331546,-0.08686448,0.0067781443,-0.07840487,-2.1089191,-0.026867129,-1.1295048,0.120391,-0.2973468,-0.20290154,0.25428435
CESC-6p,0.038837377,1.0104035,0.23923172,-0.14367625,-0.06888404,0.2221589,-0.022072854,0.078981385,-0.09616108,-0.16932003,-0.16039112,0.012664736,-0.03840997,-1.1615267,-0.22764559,-1.3898584,-0.028381003,-0.3993152,0.19544296,-1.1580535
COAD-6p,-0.041469406,-0.2860987,-0.66935647,0.3756789,-0.034538582,0.17262791,-0.15280508,0.076803535,0.16926898,-0.32372263,-0.114823334,0.00212377,-0.09128096,-2.225524,0.18623725,-0.2437483,-0.2538944,0.10491356,0.13880064,0.10689432
ESCA-6p,-0.24771847,-0.30223796,0.36580327,0.27560875,-0.084887736,-0.0043141292,-0.53902835,0.05919021,-0.14407998,-0.11861033,-0.18238159,6.8355585e-05,-0.05830981,-1.1242508,0.023378879,-0.13660276,-0.39822376,-0.20912595,-0.16054496,0.16971648
GBM-6p,-0.061005924,0.047863208,0.06244577,0.28981793,0.08807922,-0.30912083,0.5689983,0.030626398,-0.08549308,-0.008954178,-0.01023636,-0.0029258206,0.31848437,-1.4880328,0.16929415,0.837425,0.06041092,-0.0050564106,-0.11660393,1.0477821
KICH-6p,0.1823109,0.20371957,-0.28441527,-0.12187819,-0.101741076,0.5115105,-0.028320307,-0.1281111,0.26186395,0.91459376,0.30660078,0.060379606,0.2335623,-0.9794255,0.34477565,0.44269183,-0.30681038,0.12302494,0.205283,2.1167107
KIRC-6p,0.27884993,0.07122487,-0.40800563,-0.1562548,-0.090916544,0.5251793,-0.026750203,-0.18890148,0.17426243,0.83414465,0.22759803,-0.029273394,0.23130868,-1.0581946,0.42568895,0.39835203,0.06654861,0.039638184,0.0995719,1.8564414
KIRP-6p,-0.057234667,0.039632767,-0.44790617,-0.23085856,-0.19337897,0.47279122,-0.047205206,-0.23264259,0.15888047,0.81195146,-0.0139710475,-0.15787283,0.12078168,-1.3997068,0.22571027,0.3923682,-0.0008921707,-0.03387019,-0.25436077,-1.8476566
LAML-6p,-0.14440203,-1.8193517,0.16783406,0.034507737,-0.07594609,-0.58065003,-1.097533,0.047414694,0.040512905,-0.20174347,-0.13706008,0.051792327,-0.09815255,-0.98077816,0.10404603,0.037680786,-0.14410387,0.16353619,0.23392701,-0.93108886
LGG-6p,-0.074361585,-0.12704846,0.101877466,0.15634558,0.07986788,-0.38266766,0.2821406,0.031975463,-0.044268973,-0.03435544,-0.11222212,0.011129568,0.31715173,-1.7968588,0.13229854,0.7950274,0.05672286,-0.03140725,-0.18781064,-0.11713832
LUAD-6p,-0.26197574,-0.10826284,-0.5688093,0.32482156,0.24707495,0.23379873,-0.22239542,0.07148256,-0.047840513,0.12034852,-0.08217284,0.03793969,-0.05140355,-1.4085793,-0.0923854,-0.08326386,-0.14712134,-0.018827101,-0.17964955,-1.7732239
LUSC-6p,0.04199636,-0.110593386,-0.43604037,0.23153774,0.1237138,0.3641282,-0.18478708,0.08344227,-0.08006181,0.03256239,-0.11521155,0.04166148,-0.10380866,-1.8154553,-0.076761946,0.0064542564,-0.34597966,0.06500927,-0.109818146,-0.64962393
OV-6p,1.2267835,0.04956467,0.38397923,0.32462186,0.2519992,-0.572693,0.6979844,0.007309949,0.29453188,0.203464,2.3208234,-0.008442373,-0.081975974,-1.1354719,0.47230548,0.512173,0.10044584,0.10452568,-0.10824122,0.18083674
PAAD-6p,0.071357414,-0.07148347,1.0921329,-0.23328806,0.17882332,-0.1806911,-0.016194908,0.07702552,0.004040447,1.2451098,-0.0724564,0.17044158,-0.065014504,-1.0975885,0.47553614,0.33838502,0.04009096,0.11956747,0.25377384,0.26782936
PRAD-6p,0.09791953,-0.13579577,0.0062296735,-0.3758552,0.20257916,0.04975965,0.03106802,0.0669317,-0.48144016,-0.16664436,-0.11709007,0.018947618,-0.059681866,-1.9463176,0.13921718,0.17369497,0.47937205,-0.059241865,0.31594536,-1.7668588
STAD-6p,-0.34449387,-0.040425625,-0.55359197,0.38625988,-0.13518706,0.15840028,-0.029841296,0.04553241,-0.08984023,0.0072124554,-0.13697872,0.01735139,-0.06620397,-1.3841779,0.11001198,0.15287836,0.031051833,-0.10029172,0.028653659,-1.8613691
TGCT-6p,0.5365183,-1.2791928,0.122360975,0.39491504,-0.18958458,-0.18266891,-1.3208802,-0.009365417,-0.028311783,-0.12638754,-0.13173856,-0.07220398,0.023198914,-0.4385325,0.2422887,-0.015856333,-0.022572936,-0.008256771,0.2636297,-1.3880997
THYM-6p,1.0521463,0.3842904,0.6197794,0.72288287,-0.12151383,0.47081643,-0.07471356,0.08113083,-0.014091093,-0.008407802,-0.10667487,0.019237146,-0.021444913,-0.56385875,0.51132625,0.6959093,0.1001787,-0.013912589,-0.049981866,-0.68022203
UCS-6p,-0.2540434,0.45540676,-0.16450824,-0.27853584,-0.53853226,0.08869379,0.2622575,0.04726345,-0.21356758,-0.036969934,-0.15213573,0.0018866139,-0.038587008,-1.357028,0.04736948,-0.75960374,-0.115387194,-0.43966976,0.1862431,-0.5604718
ACC-3p,-0.065329224,-0.51680094,-0.378886,-0.2512977,-0.28066176,-1.4865222,-0.05059375,0.043995038,-0.05063983,-0.20828696,-0.14571884,-0.050170228,-0.06873338,0.094651185,-1.2418671,-0.11271457,-0.12642694,0.29404786,0.17783235,-0.13113128
BRCA-3p,0.13547835,-0.36531264,-0.29497805,-0.13794176,-0.21575981,0.7521945,-0.13892917,0.08759611,0.035301767,0.051423375,-0.071676575,0.001436204,-0.022965377,0.28986156,-1.8515548,-1.1408422,-0.11522211,0.084956266,-0.11478508,-0.30071
CESC-3p,-0.1219537,1.3304554,0.41963866,-0.106772974,0.1351557,0.69876903,0.030156424,0.0633299,0.0063392683,-0.11705818,-0.10872132,-0.04822866,-0.02916253,0.40475744,-1.3595709,-0.3982207,0.11394034,0.72104335,0.3351332,1.2077368
COAD-3p,-0.4284113,-0.15927412,-0.22599903,0.45045972,-0.018609477,0.62345296,-0.11692369,0.083091974,0.04388015,0.040903363,-0.10315898,-0.006457894,-0.037360586,0.2236056,-1.467622,-1.4238237,-0.0825107,0.3523531,-0.18053979,-0.40949765
ESCA-3p,0.46246698,-0.0037118571,0.09273271,0.61720115,-0.027468305,0.58301944,-0.12012528,0.08456091,0.24787113,0.7262194,-0.06599041,0.0012270727,-0.032839973,0.3790851,-0.76913863,0.428131,-0.10495648,0.76181096,0.08710516,0.21749015
GBM-3p,0.016484253,-0.118097,-0.10945437,-0.2573515,-0.04625422,-0.78788555,0.19428524,-0.08181515,-0.08567057,-0.08307555,-0.19312854,-0.059935518,-0.060389884,-0.057767984,-1.6443293,0.17103627,-0.10885271,0.022484692,-0.5033539,-0.19042791
KICH-3p,-0.16548333,0.06498566,-0.38404348,-0.32779318,-0.20580584,0.5575346,-0.05124107,-0.56489307,-0.17147371,-0.29202718,-0.1077385,-0.071164176,-0.026242616,0.1886435,-0.68649215,0.15237835,0.24891204,0.4459891,-0.1395039,-1.3955035
KIRC-3p,0.21734618,0.14810559,-0.12440692,-0.17127106,0.010311646,0.6765422,0.005619157,-0.32614934,-0.1264692,-0.19040042,-0.030208556,0.2282807,0.096291564,0.22620964,-0.41920546,0.60164946,0.71607083,0.56943905,0.034108963,2.52555
LAML-3p,0.13358937,-1.4835782,0.15567514,0.06763311,-0.13374677,-0.90734905,-1.09254,0.043857537,-0.13983026,-0.27490035,-0.10127526,-0.0053083226,-0.04488436,-0.04916101,-0.504661,0.039253004,0.16914909,0.37920123,0.5315012,-0.35039508
LGG-3p,0.035726864,-0.13041915,-0.07781248,-0.34657636,-0.010925892,-0.7911364,0.12539247,-0.08467886,-0.082554385,-0.11033175,-0.13300455,-0.06850175,-0.060389884,-0.03369878,-1.3510609,0.21626511,-0.05299188,0.016076595,-0.5725248,-0.82291317
LIHC-3p,-0.41019106,-1.0580882,-0.20628531,0.00088061113,-0.14408265,-0.80080056,0.010305724,-0.068371914,-0.21096005,0.6416019,0.7559861,-0.047013443,0.080511205,0.103606716,-0.8749048,0.12121091,-0.053321403,0.103751555,-0.29951772,-0.6530883
LUAD-3p,-0.16172487,0.07382043,0.010427738,0.23180023,0.5970639,0.3705795,1.0029265,0.06316992,0.511848,0.23075317,-0.06664352,0.021010611,-0.024160188,0.18084437,-0.716612,0.2006152,-0.2601623,0.6682975,-0.00074935844,0.1777178
LUSC-3p,-0.06341078,0.12661381,0.056914754,0.11915604,0.5187235,0.40174627,1.2923208,0.04815497,0.19587678,0.25567108,-0.077712946,-0.0057267463,-0.029177058,0.20968002,-0.5149651,0.63081396,-0.27700654,0.9083002,0.108288765,1.3287624
OV-3p,-0.503598,0.06748699,-0.15124735,-0.31465968,-0.19701023,0.18801297,-0.07861977,-0.3180444,0.09581544,0.009895443,-0.16023885,-0.057672374,-0.053666722,-0.06880443,-1.7267634,0.26148087,0.04096259,-0.04544872,0.15695544,-1.2832319
PAAD-3p,0.119040474,0.09575173,-0.04378259,-0.17253959,0.05298245,0.61550254,0.045225665,0.07429773,0.23750773,-0.0136929285,-0.093492195,0.0043475674,-0.011215838,0.13070117,-0.41561604,0.50700015,0.3853109,0.63088715,0.097427525,0.55123323
SKCM-3p,-0.16576655,-0.30574074,-0.018344117,-0.29551974,0.13854507,-1.1265484,-0.52816045,0.03540559,-0.059149228,-0.25340804,-0.1580121,-0.06803942,-0.047535397,0.12661414,-1.3832934,-0.10545346,-0.040801264,0.36499986,0.074533924,0.2825699
