type,value
out group,10.8
out group,11.57
out group,10.88
out group,11.17
out group,8.83
out group,12.49
out group,10.67
out group,9.26
out group,9.73
out group,10.95
out group,11.23
out group,11.09
out group,9.89
out group,9.42
out group,11.23
out group,6.8
out group,10.75
out group,8.54
out group,11.87
out group,10.03
out group,10.54
out group,11.64
out group,11.43
out group,12.64
out group,10.56
out group,8.51
out group,9.97
out group,11.35
out group,11.19
out group,11.17
out group,10.25
out group,12.67
out group,11.97
out group,11.04
out group,8.98
out group,10.03
out group,11.68
out group,11.29
out group,11.54
out group,11.26
out group,11.57
out group,13.47
out group,9.83
out group,10.57
out group,9.84
out group,6.92
out group,10.72
out group,10.74
out group,10.91
out group,11.76
out group,10.41
out group,10
out group,10.88
out group,7.83
out group,9.29
out group,11.12
out group,12.84
out group,10.68
out group,10.77
out group,11.57
out group,12.4
out group,11.06
out group,9.97
out group,6.48
out group,9.4
out group,10.08
out group,9.14
out group,9.81
out group,7.65
out group,8.65
out group,8.54
out group,9.74
out group,7.36
out group,10.48
out group,9.78
out group,10.55
out group,10.23
out group,11.44
out group,11.17
out group,11.16
out group,11.26
out group,11.6
out group,12.2
out group,10.92
out group,11.01
out group,11.74
out group,12.29
out group,9.8
out group,9.51
out group,12.07
out group,11.45
out group,10.17
out group,10.16
out group,11.69
out group,9.86
out group,12.13
out group,9.86
out group,9.48
out group,11.4
out group,7.95
out group,5.25
out group,9.68
out group,5.58
out group,5.79
out group,10.56
out group,7.2
out group,8.83
out group,8.36
out group,9.01
out group,5.02
out group,7.29
out group,7.84
out group,8.09
out group,7.95
out group,3.79
out group,6.19
out group,6.79
out group,7.64
out group,7.21
out group,4.74
out group,5.18
out group,7.32
out group,4.63
out group,7.27
out group,7.21
out group,8.03
out group,5.15
out group,7.86
out group,7.43
out group,9.22
out group,10.97
out group,5.37
out group,9.02
out group,3.31
out group,5.58
out group,4.91
out group,6.33
out group,6.56
out group,5.35
out group,6.65
out group,5.21
out group,7.47
out group,6.71
out group,5.24
out group,6.05
out group,7.2
out group,7.46
out group,9.87
out group,5.16
out group,6.49
out group,3.69
out group,5.44
out group,6.19
out group,5.22
out group,6.47
out group,5.24
out group,4.7
out group,5.01
out group,9.35
out group,8.7
out group,5.97
out group,7.82
out group,6.99
out group,6.07
out group,6.55
out group,8.33
out group,4.45
out group,6.76
out group,7.05
out group,2.52
out group,5.52
out group,9.19
out group,6.65
out group,4.96
out group,4.51
out group,6.47
out group,6.86
out group,7.29
out group,5.7
out group,4.54
out group,7.74
out group,5.54
out group,5.32
out group,5.96
out group,6.58
out group,5.07
out group,9.69
out group,6.69
out group,8.82
out group,9.03
out group,4.31
out group,7.37
out group,8.05
out group,4.14
out group,4.79
out group,6.77
out group,6.71
out group,7.35
out group,4.24
out group,4.43
out group,3.89
out group,3.72
out group,4.61
out group,5.86
out group,5.98
out group,8.32
out group,6.2
out group,4.59
out group,6.94
out group,5.71
out group,7.07
out group,8.57
out group,6.13
out group,2.69
out group,8.36
out group,7
out group,6.05
out group,6.56
out group,4.49
out group,6.24
out group,6.48
out group,4.92
out group,3.58
out group,4.62
out group,5.84
out group,9.14
out group,5.76
out group,3.87
out group,8.21
out group,7.15
out group,4.76
out group,7.15
out group,8.15
out group,4.29
out group,3.77
out group,5.07
out group,3.48
out group,6.82
out group,6.76
out group,2.61
out group,8.93
out group,8.26
out group,6.59
out group,11.33
out group,9.77
out group,5.29
out group,8.9
out group,10.77
out group,8.82
out group,8.43
out group,6.34
out group,3.72
out group,6.94
out group,8.96
out group,7.97
out group,5.85
out group,4.22
out group,6.7
out group,11.44
out group,8.49
out group,6.81
out group,7.24
out group,7.32
out group,10.81
out group,7.64
out group,3.73
out group,10.03
out group,4.51
out group,10.16
out group,8.19
out group,12.09
out group,5.93
out group,6.82
out group,8.13
out group,8.39
out group,7.98
out group,7.74
out group,9.13
out group,4.28
out group,4.85
out group,4.94
out group,6.69
out group,5.32
out group,9.42
out group,6.31
out group,3.45
out group,10.13
out group,7.17
out group,5.21
out group,6.55
out group,7.6
out group,6.68
out group,6.35
out group,3.57
out group,5.26
out group,8.65
out group,6.66
out group,9.24
out group,2.33
out group,6.27
out group,6.72
out group,6.69
out group,7.84
out group,9.07
out group,6.79
out group,4.75
out group,6.66
out group,4.56
out group,7.73
out group,8.08
out group,5.82
out group,7.96
out group,5.1
out group,10.77
out group,6.24
out group,5.94
out group,3.83
out group,4.99
out group,4.99
out group,5.63
out group,9.1
out group,4.62
out group,4.19
out group,6.58
out group,9.67
out group,7.57
out group,6
out group,5.64
out group,8.83
out group,7.23
out group,6.5
out group,4.31
out group,7.78
out group,4.7
out group,4.32
out group,5.9
out group,4.08
out group,6.07
out group,6.42
out group,6.57
out group,7.24
out group,6.53
out group,8.88
out group,6.33
out group,7.82
out group,6.14
out group,4.28
out group,6.46
out group,9.07
out group,7.93
out group,5.09
out group,4.65
out group,9.24
out group,7.64
out group,6.17
out group,6.22
out group,6.16
out group,6.44
out group,6.68
out group,6.37
out group,3.28
out group,5.78
out group,8.73
out group,5.48
out group,4.44
out group,7.37
out group,8.05
out group,6.14
out group,5.77
out group,6.94
out group,6.09
out group,6.92
out group,7.26
out group,6.61
out group,5.4
out group,6.71
out group,7.37
out group,3.8
out group,6.17
out group,2.03
out group,6.76
out group,6.9
out group,8.62
out group,5.53
out group,6.63
out group,7.18
out group,5.7
out group,5.41
out group,8.62
out group,7.48
out group,3.72
out group,7.53
out group,11.44
out group,8.32
out group,5.97
out group,7.65
out group,9.73
out group,5.26
out group,6.89
out group,6.68
out group,6.93
out group,5.09
out group,7.12
out group,4.67
out group,6.08
out group,8.66
out group,7.35
out group,5.19
out group,7.04
out group,3.96
out group,4.97
out group,4.63
out group,5.17
out group,5.49
out group,7.96
out group,3.78
out group,5.68
out group,10.81
out group,7.87
out group,9.36
out group,7.36
out group,7.3
out group,5.76
out group,5.8
out group,6.04
out group,9.85
out group,9.29
out group,6.27
out group,6.88
out group,6.76
out group,4.85
out group,6.16
out group,6.63
out group,4.87
out group,5.71
out group,4.89
out group,5.81
out group,7.63
out group,7.48
out group,7.22
out group,6.13
out group,6.54
out group,7.67
out group,4.78
out group,7.62
out group,6.87
out group,6.25
out group,6.1
out group,6.34
out group,4.44
out group,8.02
out group,6
out group,6.7
out group,6.91
out group,5.89
out group,9.99
out group,9.37
out group,9.05
out group,9.02
out group,4.15
out group,6.5
out group,7.98
out group,6.76
out group,6.35
out group,7.42
out group,8.97
out group,6.4
out group,8.38
out group,7.42
out group,10.91
out group,5.44
out group,5.7
out group,6.19
out group,6.25
out group,6.87
out group,7.82
out group,4.83
out group,6.21
out group,7.9
out group,5.91
out group,10.24
out group,4.88
out group,9.41
out group,6.06
out group,11.04
out group,8.94
out group,7.59
out group,4.93
out group,8.08
out group,5.68
out group,8.14
out group,7.68
out group,4.77
out group,5.62
out group,8.73
out group,6.39
out group,9.01
out group,5.16
out group,6.3
out group,5.9
out group,7.41
out group,7.27
out group,5.63
out group,8.65
out group,7.58
out group,5.67
out group,4.73
out group,8.44
out group,3.95
out group,9.91
out group,5.51
out group,6.75
out group,7.44
out group,5.53
out group,5.87
out group,3.36
out group,7.33
out group,6.16
out group,8.87
out group,4.66
out group,8.63
out group,5.86
out group,8.19
out group,8.66
out group,3.77
out group,6.32
out group,6.78
out group,6.74
out group,6.35
out group,8.19
out group,6.83
out group,6.61
out group,8.99
out group,9.05
out group,5.93
out group,5.06
out group,8.23
out group,8.6
out group,4.92
out group,4.31
out group,7.87
out group,4.78
out group,3.14
out group,4.53
out group,5.43
out group,6.46
out group,6.73
out group,5.03
out group,4.38
out group,7.7
out group,3.95
out group,3.82
out group,5.73
out group,7.83
out group,8.31
out group,3.75
out group,3.03
out group,9.39
out group,11.3
out group,8.4
out group,10.21
out group,9.77
out group,2.79
out group,6.63
out group,10.07
out group,8.44
out group,5.3
out group,7.65
out group,9.73
out group,6.73
out group,6.92
out group,4.4
out group,6.63
out group,11.3
out group,11.08
out group,11.55
out group,12.66
out group,12.64
out group,12.34
out group,12.62
out group,13.05
out group,13.63
out group,12.7
out group,12.51
out group,12.78
out group,12.28
out group,13.03
out group,11.44
out group,12.77
out group,12.7
out group,13.2
out group,9.75
out group,12.5
out group,12.11
out group,11.86
out group,13.02
out group,13.83
out group,12.55
out group,11.97
out group,12.08
out group,12.44
out group,12.46
out group,12.03
out group,13.63
out group,11.25
out group,13.45
out group,13.69
out group,13.75
out group,13.1
out group,12.25
out group,12.74
out group,14.46
out group,12.64
out group,13.65
out group,12.92
out group,12.19
out group,13.14
out group,13.29
out group,13.73
out group,13.15
out group,14.46
out group,11.83
out group,13.54
out group,11.48
out group,13.27
out group,12.22
out group,10.47
out group,12.58
out group,13
out group,12.66
out group,13.23
out group,13.83
out group,13.29
out group,12.1
out group,13.29
out group,13.43
out group,12.56
out group,12.2
out group,13.17
out group,12.67
out group,13.68
out group,10.87
out group,12.87
out group,12.16
out group,12.42
out group,12.89
out group,13.34
out group,13.34
out group,14.16
out group,14.39
out group,13.21
out group,13.12
out group,12.9
out group,12.64
out group,12.42
out group,13.28
out group,12.09
out group,11.82
out group,12.37
out group,11.48
out group,11.26
out group,11.25
out group,13.22
out group,12.3
out group,12.21
out group,12.33
out group,12.77
out group,11.89
out group,13.08
out group,12.63
out group,11.54
out group,10.78
out group,10.91
out group,12.8
out group,13.39
out group,13.42
out group,10.6
out group,12.47
out group,13.23
out group,13.75
out group,12.88
out group,13.56
out group,12.29
out group,11.55
out group,13.13
out group,13.85
out group,13.13
out group,12.37
out group,12.06
out group,12.14
out group,11.17
out group,12.32
out group,11.55
out group,12.09
out group,13.81
out group,12.43
out group,13.06
out group,14.1
out group,12.14
out group,11.55
out group,12
out group,12.83
out group,13.3
out group,12.21
out group,12.6
out group,13.68
out group,11.44
out group,12.62
out group,12.34
out group,11.76
out group,9.96
out group,12.75
out group,12.86
out group,9.94
out group,12.15
out group,12.74
out group,11.7
out group,13.33
out group,6.93
out group,12.55
out group,13.3
out group,11.13
out group,14.23
out group,12.93
out group,13.66
out group,12.51
out group,12.53
out group,14.16
out group,12.04
out group,12.39
out group,12.13
out group,13.44
out group,12.61
out group,12
out group,12.1
out group,13.48
out group,11.9
out group,11.88
out group,13.43
out group,13.12
out group,12.82
out group,12.58
out group,13.32
out group,12.5
out group,13.71
out group,12.73
out group,12.33
out group,13.3
out group,12.37
out group,13.27
out group,13.67
out group,14.1
out group,13.05
out group,12.52
out group,12.76
out group,11.92
out group,13.75
out group,12.1
out group,12.35
out group,12.89
out group,11.27
out group,13.85
out group,13.68
out group,12.9
out group,12.69
out group,13.31
out group,13.61
out group,13.5
out group,14.08
out group,13.72
out group,14.23
out group,12.94
out group,13.62
out group,12.56
out group,13.78
out group,11.25
out group,12.4
out group,12.92
out group,13.31
out group,11.03
out group,10.99
out group,13.52
out group,11.82
out group,12.8
out group,12.35
out group,13.31
out group,12.84
out group,12.75
out group,13.11
out group,12.94
out group,12.94
out group,12.48
out group,13.9
out group,10.28
out group,12.41
out group,12.58
out group,12.8
out group,13.35
out group,12.33
out group,12.27
out group,12.99
out group,12.59
out group,12.64
