Instance,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols)
CESC-12.0,-0.09338127,-0.6752341,-0.0013364311,0.56946105,-0.41733375,-0.29512814,0.15587771,-0.16280797,0.0019548368,-0.1652469,0.033672795,-0.08991083,-0.3048218,0.15645719,-0.38964674,-0.40442723,-2.3417728,-0.7055104,-0.0039857943,-0.41551244
COAD-12.0,-0.3328095,-0.4101855,-0.26806536,-0.20842916,-0.213698,-0.1227167,-0.17299221,-0.1399697,-0.021865483,-0.20729628,0.028361965,-0.13703617,-0.10747416,-0.07728986,-0.53116155,-0.4188164,-2.6732337,-0.43915164,-1.2080166,-0.4328276
ESCA-12.0,-0.23792684,-0.6732773,0.15272124,0.3947717,-0.0039810445,-0.031265974,-0.21705687,-0.31619224,-0.012176039,-0.19923411,0.02603571,-0.12328732,-0.13050951,-0.25435966,0.31163383,-0.52916425,-2.546147,-0.44039175,-0.9287044,-0.28588748
GBM-12.0,-0.5661518,-0.3705161,-0.18255103,-0.059956837,0.016148593,-0.11521286,-0.18751563,0.3173977,0.14757913,0.020548971,-0.06954799,-0.10818831,0.7448915,0.012590603,-0.36626828,-0.538502,-2.406153,0.64921516,-0.09714163,-0.18743344
KICH-12.0,-0.13880122,0.101499654,0.042944975,-0.18258251,-0.252364,-0.1875702,-0.31207976,-0.2979046,-0.018439297,-0.13287912,-0.07366267,0.2645716,-0.54393727,0.30663672,-0.5305612,-0.39687753,-1.1858596,0.42574626,-1.6675693,-0.23787965
LAML-12.0,-0.120137766,-0.25485334,-0.25991803,-0.07604581,0.08353105,0.046350528,-0.4222778,-0.7514598,-0.12761368,-0.18269584,0.06082842,-0.18124266,-0.074476495,-0.7185616,0.24162875,-0.5286568,-0.82760835,0.4536388,-0.4029906,-0.09981116
LGG-12.0,-0.44956645,-0.32620153,-0.17807493,-0.05593941,-0.13955913,-0.06186012,-0.5417219,0.36690795,0.117268965,-0.1126079,-0.0626625,-0.14421397,-0.2352407,-0.019995268,-0.47218972,-0.4241722,-2.4660115,0.5581828,-0.08189892,-0.1187115
LIHC-12.0,-0.28444564,-0.19215398,-0.35875332,0.038744263,-0.111491375,0.31023672,-0.61813605,0.11169584,0.05694118,0.7129979,-0.0912176,-0.22055952,-0.10543661,0.40738654,-0.18786933,-0.4269585,-1.4824687,0.29358837,-0.88975316,-0.31220892
LUAD-12.0,-0.15919325,0.66078496,-0.4787378,-0.7058415,0.23451062,-0.015338369,-0.020132978,0.24702989,-0.0060661393,-0.16234875,0.025234794,-0.0665427,-0.6888492,0.13425368,-0.3717908,-0.29916674,-1.9748315,-0.67509884,0.62508273,0.04641982
LUSC-12.0,-0.3378221,0.43707606,-0.36886194,-0.62764204,0.18216209,-0.07736383,-0.2459946,0.07001476,-0.024744283,-0.16401273,-0.0041654482,-0.07493911,-1.6772047,0.27967483,-0.26555076,-0.28655323,-1.5933818,-0.66580486,0.21024671,-0.18585417
OV-12.0,0.32945698,-0.33071673,-0.33168203,-0.1891709,0.18192933,0.012692025,-0.7493743,-0.2550271,-0.16506152,0.84959036,0.028274221,0.04658145,-0.28637826,0.16760498,-0.40890312,-0.49863628,-1.9285998,-0.00539695,-0.08267283,-0.17782648
PAAD-12.0,-0.52006197,-0.157798,-0.06390738,-0.44652602,-0.3483695,-0.24442601,-0.1588261,-0.28776222,0.00663409,-0.29881418,0.060127195,-0.1817213,-1.2367196,-0.38409397,-0.64375836,-0.41403484,-1.6206453,0.22699912,-1.0534233,-0.13388585
