Instance,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
STAD-1q,0.21849711,0.5790873,-0.33469206,-0.052636236,0.1557775,0.022995602,0.022581346,0.050161157,0.12786593,0.0074548614,-0.030697946,0.109648,0.10406339,2.4085834,1.8511372,-0.035230633,0.14024618,0.20755848,-0.71686745,0.52146167
TGCT-1q,-0.29668847,-0.11743467,-0.1837908,0.30863523,0.01389356,0.089252725,-0.2239777,-0.048600975,0.02132696,0.03644667,0.23602499,0.6298738,0.038785245,2.2862883,1.5658427,0.43118677,0.04749486,0.24808793,-0.5981248,0.5790921
THYM-1q,0.25859728,0.13969812,0.31199202,-0.33341277,0.26885575,0.28691283,-0.13533433,0.116973445,-0.8164038,0.012342459,-0.02102577,0.11532919,0.107845426,2.7067077,1.2561777,0.04192626,0.07876363,0.15546562,0.12728366,0.10970519
UCEC-1q,0.05331128,0.09874287,0.13792004,0.23347007,-0.24456336,0.16089791,0.32061344,0.09743259,-0.08454396,-0.027556624,-0.058407817,0.07922302,0.08848237,2.8585136,1.6232305,0.06530288,0.024839107,-0.03902933,0.26818928,0.29652357
UCS-1q,-0.34617507,-0.07229105,0.097764395,0.1888853,-0.44272056,0.116176315,0.34895346,0.12272542,-0.07540094,0.033662945,0.010489324,0.115580015,0.10497381,3.1199906,1.5606891,-0.10167174,0.09385141,-0.0071171345,0.4172323,0.39492717
ACC-1p,-0.87667984,0.0882927,-0.31289104,-0.05284722,0.10593287,0.059183974,-0.25733098,0.012504016,-0.20990701,0.10268136,-0.073073536,0.04115401,0.04056052,-1.3013642,-0.20946164,-0.17792891,0.051241763,-0.0016332064,-0.16488643,-0.48077548
BLCA-1p,-0.719227,0.062035926,0.17867109,-0.11724319,0.25177467,0.13949585,-0.19550677,0.036581237,-0.15516976,0.06673235,-0.041223414,0.046023015,0.029266777,-0.81322896,-0.4013511,-0.18392637,0.2596419,0.3520902,-0.7101993,0.35581565
BRCA-1p,-1.1140897,-0.08788833,0.0047589988,-0.15675507,-0.38209993,-0.2392159,-0.044424683,0.02030221,-0.027181093,-0.2680495,-0.0871569,0.01478784,0.025914775,-1.3500952,-0.22435348,-0.11641217,-0.11147887,-0.08083167,-0.20911674,0.17629059
CESC-1p,-0.50901467,-0.0843734,0.3109346,0.040425718,0.3134207,0.90259254,-0.14000346,0.04106959,-0.08624864,0.047274087,-0.027087057,0.04716378,0.038155474,-0.14791146,0.21133082,-0.03107397,-0.00033454504,0.59937435,0.29127574,2.2836618
COAD-1p,-0.42589387,0.017794676,0.24422956,-0.15519008,0.23561841,-0.3716002,0.023996584,0.013607714,0.17202726,0.09228969,-0.039136626,0.031723063,0.033951037,-0.9933482,-0.39050463,-0.37178153,-0.5784312,-0.26101756,-0.6282027,-1.317829
ESCA-1p,-0.73469275,0.029547697,0.3694064,-0.48210517,0.22396822,-0.35081503,-0.21067178,0.022791754,-0.04873202,-0.2751398,-0.10819125,0.02197615,0.02250012,-1.2968227,-0.3765582,-0.5333633,-0.19737032,-0.28380886,-0.5991599,-0.85759145
GBM-1p,0.31316102,0.024465514,0.3285761,-0.14983845,0.31595722,0.24166286,-0.17183405,-0.13502982,-0.10383302,0.16576128,0.047659278,0.32157475,0.018535635,-0.33706027,0.25670484,0.16185662,0.144753,0.25325105,1.2485467,1.0660839
KICH-1p,0.4514525,-0.20136623,-0.33776787,-0.006782087,0.0526612,-0.059168246,-0.29946765,0.020868154,-0.28819168,-0.29967758,-0.23977612,0.024310548,0.02257242,-0.73429364,-0.50768477,-0.34659925,0.17553225,-0.3237381,-0.40431565,-0.8886818
KIRC-1p,0.39961752,-0.19730517,-0.34499076,-0.0047126203,0.07045035,-0.13671225,-0.16974157,0.020868154,-0.11277447,-0.29024103,-0.21704812,0.022278238,0.02952673,-0.77046955,-0.5654472,-0.2811182,0.21266612,-0.2825122,-0.33197805,-0.11444959
KIRP-1p,0.39961752,-0.20285627,-0.34499076,-0.0045253555,0.06360993,-0.13845043,-0.17147975,0.020868154,-0.11277447,-0.28895172,-0.21704812,0.022278238,0.02952673,-0.780477,-0.5668825,-0.2811182,0.20697197,-0.29649714,-0.3224996,-0.12986054
LAML-1p,-0.91579807,0.10724469,-0.2556024,-0.23064727,-0.078672744,0.17689204,-0.42131296,0.027186695,-0.21332395,-0.31677184,-0.06798792,-0.019984987,0.03164018,-1.276994,-0.027581397,0.180284,-0.23761398,-0.18129504,-0.6766689,-0.45277542
LGG-1p,0.01742021,-0.04525207,0.16617645,-0.15766576,0.27395388,0.17713101,-0.17552164,-0.14900059,-0.18290007,0.14259635,0.016345635,0.3328887,0.0020823302,-1.0707678,-0.28050673,0.110914335,-5.323859e-05,0.1297066,0.79578626,-1.2396364
LIHC-1p,0.48056054,0.0115601,-0.31576744,-0.19859393,-0.18894541,-0.14430432,-0.16915706,-0.03965818,0.010555773,-0.6105546,0.8192602,-0.00940896,0.014998291,-1.4907455,-0.4829862,-0.033418667,-0.40703192,0.081595756,0.15539901,-0.8904594
LUAD-1p,0.65337676,-0.11404878,-0.024341159,0.57688,0.07758762,-0.25369713,0.03765047,0.004530471,0.91853446,0.027858652,-0.05236008,0.0037803953,0.043213885,-0.41268793,0.18638462,-0.13886009,0.04210654,0.21936059,0.94747293,0.6582169
LUSC-1p,0.4723234,-0.19157399,-0.21650147,0.33699146,0.12388715,-0.7339707,-0.055667732,0.016557163,0.55446357,0.11341418,-0.024598777,0.025990989,0.06576721,-0.4253314,-0.10316506,-0.34820378,0.086091675,0.08670335,0.41854092,-0.71102536
OV-1p,-0.23379074,0.112871855,0.54274523,0.26548278,-0.33068588,0.8425998,1.3437729,-0.19256864,0.32530913,0.018050056,0.25929347,0.04926129,0.042856947,-0.23258755,0.16876152,0.08988427,0.17939273,-0.033066586,0.10615746,0.9785988
PAAD-1p,0.022370424,-0.13630244,-0.26417828,-0.1518306,-0.09195321,0.04334375,-0.3013594,-0.0075983917,0.39192358,0.065840825,-0.07109597,0.013737399,0.03934997,-1.0207072,-0.09969034,0.3468256,-0.5003466,-0.097504206,-0.65707576,-1.5996255
PRAD-1p,-0.3995731,0.026807053,-0.03648594,-0.17114559,-0.53197795,-0.4356493,-0.5085463,0.023535503,0.0019024832,-0.16521977,-0.13842382,0.0016925172,0.019186284,-1.1825182,-0.2995824,-0.06296274,-0.08472121,-0.2443988,-0.11549274,-0.23278753
SKCM-1p,0.18972306,-0.22649556,-0.3042358,0.15583093,0.23572634,0.04665784,-0.35531467,0.0034154395,-0.33460656,-0.07550709,-0.0986828,0.06643299,0.032500118,-1.12467,-0.21651177,0.24766153,0.31722736,-0.042544205,-0.23441668,-0.3329903
STAD-1p,-0.032090627,0.14728329,-0.33633667,-0.13180423,0.24325682,-0.4744119,-0.17673554,-0.004123353,-0.19543779,0.019553112,-0.06451397,0.013255277,0.05642084,-0.7234396,-0.40608248,-0.44782162,0.050951727,-0.12167192,-0.2637273,-0.37484932
TGCT-1p,-0.42833105,-0.094302796,-0.33152732,0.05769385,-0.13200033,0.23720758,-0.25184375,-0.07019839,-0.2833855,0.154162,0.16924548,-0.059096754,0.025438938,-0.50769323,-0.0967487,0.58308136,-0.03875538,-0.22549425,-0.6989254,-0.62203074
THYM-1p,-0.69973993,-0.017001562,0.3917188,-0.76855135,0.19302848,0.395329,-0.40301186,0.028743401,-0.07282965,0.02282338,-0.07037098,0.06399223,0.023115784,-0.82983613,0.16694523,-0.106439956,-0.45991367,-0.19098237,-0.4018091,-0.7870047
UCEC-1p,-0.59740764,-0.0124470815,0.27145767,0.22705793,-0.6664004,-0.38984808,1.0650884,0.016389498,0.05702729,-0.2303671,-0.06857216,0.026654948,0.020461198,-0.8502634,-0.25319904,-0.31849793,-0.16482186,-0.17736255,-0.5198392,-1.0011721
UCS-1p,-0.58412343,0.03233421,0.26136974,0.1874969,-0.671195,-0.4165688,0.85791236,0.01675684,0.035698473,-0.17341775,-0.057070408,0.028917486,0.052001063,-0.9878284,-0.2586991,-0.46956164,-0.1422394,-0.16931589,-0.5138009,-0.9719637
ACC-6q,-0.6653311,-0.12511133,0.11395609,-0.16278952,0.20766038,-0.17906956,-0.20228438,0.012226717,-0.2575674,0.085386895,-0.11094119,0.027348803,0.041232426,-1.5579782,-1.2907809,0.16677824,0.03427861,-0.23430644,-1.0304602,-0.54926366
BLCA-6q,-1.1103674,-0.007939894,0.15893795,-0.069972865,0.17247902,0.12660517,-0.26661518,0.016815577,0.18270443,-0.05368258,-0.12134281,0.018587966,0.029937044,-1.5906198,-1.1568186,-0.14132416,-0.0483607,-0.32933298,-0.29715577,-0.7996181
BRCA-6q,-0.19887696,0.017249152,0.12469803,-0.11582563,-0.5447513,-0.37140176,0.40902376,0.009530829,0.07591094,-0.28507414,-0.09481419,0.005800642,0.020615745,-1.2892277,-1.1893874,-0.08748564,-0.7490204,-0.3040938,-0.2378167,-0.45902887
CESC-6q,-1.0830687,-0.14311819,0.24578016,-0.047751598,0.17891128,-0.40180206,-0.22639039,0.02716837,-0.24157636,0.05451957,-0.15553334,0.015298916,0.029976984,-1.9842066,-1.2377535,-0.41729954,-0.055868305,-0.33386543,-0.46423557,-0.95706534
COAD-6q,-1.2501599,-0.013419381,0.24312305,-0.16495855,0.18600565,-0.30326277,0.0064054457,0.017339833,-0.0698675,-0.40130976,-0.108325236,0.023879427,0.039774716,-1.707785,-1.3687137,-0.24920426,0.37096694,-0.27289256,-0.38068438,-1.1589855
ESCA-6q,-1.3050457,0.23874629,0.3835988,-0.17117035,0.047476575,-0.1358388,0.011874737,0.027908964,0.14775985,0.23518118,-0.090885185,0.007349492,0.031402543,-1.7900698,-1.4620273,-0.2837062,-0.23475476,-0.24698217,-0.54611796,-0.30070367
GBM-6q,0.13172048,-0.053241435,-0.20337689,-0.11140026,-0.5913774,-0.090686515,-0.8703331,-0.10088236,-0.26101303,0.06061404,-0.106435,-0.06820851,0.06700706,-1.2799189,-1.4872558,-0.16860425,0.0030895825,-0.21281749,-0.8415978,-0.42147514
KICH-6q,-0.057879962,-0.2502099,-0.5124256,-0.09554853,0.008790847,-0.5841017,-0.17188342,-0.015280386,-0.27763036,-0.3320208,0.1394186,0.023066493,-0.10162744,-1.5012703,-0.9215024,-0.33657464,-0.3869449,-0.4640075,0.58125186,-0.3958876
KIRC-6q,0.0753897,-0.2781404,-0.3138235,-0.05668108,0.04387916,-0.8295398,-0.09674469,-0.087782815,-0.22350977,-0.27677822,0.00441107,-0.22689886,-0.08901638,-1.3180033,-0.9188896,-0.33893332,-0.5943664,-0.59968585,0.24285972,-0.33481106
KIRP-6q,-0.086344615,-0.23530976,-0.47167635,-0.07777448,-0.005351196,-0.43758905,-0.15409909,-0.010856181,-0.21629576,-0.40573743,0.16215678,0.023645094,-0.106569916,-1.5310647,-1.1927778,-0.22529277,-0.40574312,-0.36653134,0.32004476,-0.1927226
LAML-6q,0.6966348,-0.00895238,-0.16395198,-0.32978824,-0.12564941,0.44974527,-0.38777554,0.034516044,-0.28824064,0.00020620576,-0.20548767,0.019065415,0.028219584,-1.030535,-1.6262617,0.18515064,-0.006391303,-0.31649867,-0.591548,-0.51434326
LGG-6q,0.24508585,0.029729534,-0.23178694,-0.105341144,-0.54086125,0.05416919,-0.871039,-0.050008994,-0.24283351,0.072704785,-0.09557502,-0.11986642,0.023968931,-1.2806437,-1.31251,0.016165096,0.0587459,-0.3795435,-1.0078986,0.23902887
LIHC-6q,-0.7244744,0.2126487,-0.04086601,-0.39500904,-0.09689181,-0.0020837844,-0.548277,0.004135903,0.038001787,-0.5453163,0.73542637,0.15419748,0.01737057,-2.0020993,-1.1692828,0.021545656,-0.39893842,-0.25995234,-0.2676511,-0.51110166
LUAD-6q,0.2611979,-0.029579747,-0.388371,0.007731979,0.021365099,-0.3483911,-0.3353088,0.040563986,0.06625695,0.054461833,-0.07809859,0.0068028206,0.052208297,-1.6415234,-1.2635794,-0.1112922,-0.5916282,-0.3977857,-0.35245037,0.30986208
LUSC-6q,0.26586244,0.011315818,-0.2904225,0.011038676,0.031675696,-0.23289709,-0.33711964,0.03600034,0.19138192,0.054461833,-0.08932216,0.0040884586,0.036524095,-1.6102307,-1.1450825,-0.18789616,-0.7114213,-0.72866154,-0.079756804,0.11692404
