Chromosome arm,adipose,muscle,artery,heart,uterus,vagina,breast,skin,minor salivary gland,brain,adrenal gland,thyroid,lung,spleen,pancreas,esophagus,stomach,colon,small intestine,prostate,testis,nerve,cells,whole blood,pituitary,ovary,liver,kidney,cervix,fallopian tube,bladder
7p,0.017241379310344827,0.13448275862068965,0.03103448275862069,0.04310344827586207,0.017241379310344827,0.010344827586206896,0.006896551724137931,0.03103448275862069,0.017241379310344827,0.04827586206896552,0.06551724137931035,0.020689655172413793,0.02413793103448276,0.034482758620689655,0.034482758620689655,0.027586206896551724,0.017241379310344827,0.015517241379310345,0.010344827586206896,0.006896551724137931,0.13793103448275862,0.03103448275862069,0.16724137931034483,0.1,0.027586206896551724,0.020689655172413793,0.05517241379310345,0.029310344827586206,0.017241379310344827,0.010344827586206896,0.0034482758620689655
17q,0.016206482593037214,0.1212484993997599,0.021608643457382955,0.028811524609843937,0.004801920768307323,0.003601440576230492,0.004801920768307323,0.07743097238895558,0.02040816326530612,0.030012004801920768,0.027611044417767107,0.01680672268907563,0.015606242496998799,0.0468187274909964,0.03721488595438175,0.008403361344537815,0.014405762304921969,0.02100840336134454,0.022809123649459785,0.006002400960384154,0.15726290516206481,0.02040816326530612,0.13145258103241297,0.17647058823529413,0.028811524609843937,0.024009603841536616,0.08043217286914765,0.03961584633853541,0.00900360144057623,0.007202881152460984,0.0
2p,0.019438444924406047,0.16630669546436286,0.038876889848812095,0.04967602591792657,0.017278617710583154,0.004319654427645789,0.0021598272138228943,0.042116630669546434,0.01511879049676026,0.04535637149028078,0.056155507559395246,0.012958963282937365,0.01511879049676026,0.01511879049676026,0.06479481641468683,0.02591792656587473,0.012958963282937365,0.014038876889848811,0.01511879049676026,0.0021598272138228943,0.16198704103671707,0.032397408207343416,0.17278617710583152,0.09287257019438445,0.0367170626349892,0.03455723542116631,0.1079913606911447,0.023758099352051837,0.00755939524838013,0.004319654427645789,0.004319654427645789
16q,0.011936339522546418,0.129973474801061,0.029177718832891247,0.034482758620689655,0.0,0.002652519893899204,0.010610079575596816,0.04774535809018567,0.007957559681697613,0.03713527851458886,0.029177718832891247,0.023872679045092837,0.005305039787798408,0.042440318302387266,0.050397877984084884,0.005305039787798408,0.021220159151193633,0.013262599469496022,0.01856763925729443,0.005305039787798408,0.15649867374005305,0.007957559681697613,0.14058355437665782,0.14323607427055704,0.05305039787798409,0.015915119363395226,0.129973474801061,0.038461538461538464,0.002652519893899204,0.002652519893899204,0.005305039787798408
2q,0.016534391534391533,0.1388888888888889,0.046296296296296294,0.036375661375661374,0.010582010582010581,0.007936507936507936,0.0026455026455026454,0.03505291005291005,0.013227513227513227,0.04497354497354497,0.031746031746031744,0.017195767195767195,0.02513227513227513,0.03571428571428571,0.05026455026455026,0.011904761904761904,0.018518518518518517,0.023148148148148147,0.026455026455026454,0.010582010582010581,0.14814814814814814,0.027777777777777776,0.16071428571428573,0.10846560846560846,0.046296296296296294,0.042328042328042326,0.08068783068783068,0.047619047619047616,0.011904761904761904,0.006613756613756613,0.0
8p,0.02529182879377432,0.10894941634241245,0.007782101167315175,0.033073929961089495,0.011673151750972763,0.007782101167315175,0.0038910505836575876,0.03501945525291829,0.011673151750972763,0.04669260700389105,0.03501945525291829,0.038910505836575876,0.027237354085603113,0.03501945525291829,0.058365758754863814,0.011673151750972763,0.019455252918287938,0.007782101167315175,0.027237354085603113,0.011673151750972763,0.10894941634241245,0.01556420233463035,0.13424124513618677,0.12840466926070038,0.027237354085603113,0.038910505836575876,0.07782101167315175,0.017509727626459144,0.017509727626459144,0.0,0.007782101167315175
3q,0.023381294964028777,0.13129496402877697,0.030575539568345324,0.039568345323741004,0.00539568345323741,0.007194244604316547,0.0,0.04316546762589928,0.025179856115107913,0.03597122302158273,0.04316546762589928,0.01618705035971223,0.0341726618705036,0.03776978417266187,0.05935251798561151,0.02158273381294964,0.017985611510791366,0.02068345323741007,0.02697841726618705,0.007194244604316547,0.16546762589928057,0.014388489208633094,0.17535971223021582,0.08453237410071943,0.039568345323741004,0.03237410071942446,0.11690647482014388,0.023381294964028777,0.0035971223021582736,0.012589928057553957,0.0035971223021582736
17p,0.019005847953216373,0.1695906432748538,0.014619883040935672,0.04093567251461988,0.0029239766081871343,0.017543859649122806,0.005847953216374269,0.059941520467836254,0.005847953216374269,0.03216374269005848,0.043859649122807015,0.008771929824561403,0.005847953216374269,0.043859649122807015,0.017543859649122806,0.017543859649122806,0.011695906432748537,0.017543859649122806,0.014619883040935672,0.008771929824561403,0.18128654970760233,0.014619883040935672,0.09649122807017543,0.14327485380116958,0.05263157894736842,0.029239766081871343,0.09064327485380116,0.011695906432748537,0.007309941520467836,0.0,0.008771929824561403
19q,0.013349514563106795,0.09223300970873786,0.01699029126213592,0.027912621359223302,0.006067961165048544,0.0012135922330097086,0.006067961165048544,0.05825242718446602,0.019417475728155338,0.02912621359223301,0.02912621359223301,0.023058252427184466,0.012135922330097087,0.04004854368932039,0.03640776699029126,0.009708737864077669,0.014563106796116505,0.009708737864077669,0.015776699029126214,0.025485436893203883,0.17597087378640777,0.007281553398058253,0.10133495145631068,0.17475728155339806,0.05946601941747573,0.044902912621359224,0.06796116504854369,0.017597087378640776,0.0006067961165048543,0.0036407766990291263,0.0036407766990291263
16p,0.007526881720430108,0.12473118279569892,0.023655913978494623,0.035483870967741936,0.008602150537634409,0.004301075268817204,0.0,0.02795698924731183,0.01935483870967742,0.03870967741935484,0.03655913978494624,0.017204301075268817,0.017204301075268817,0.047311827956989246,0.047311827956989246,0.023655913978494623,0.021505376344086023,0.016129032258064516,0.023655913978494623,0.004301075268817204,0.17204301075268819,0.002150537634408602,0.1,0.15698924731182795,0.05161290322580645,0.03225806451612903,0.10752688172043011,0.023655913978494623,0.002150537634408602,0.004301075268817204,0.002150537634408602
19p,0.018253968253968255,0.10158730158730159,0.014285714285714285,0.03888888888888889,0.006349206349206349,0.0031746031746031746,0.004761904761904762,0.04126984126984127,0.015873015873015872,0.02857142857142857,0.03015873015873016,0.022222222222222223,0.011111111111111112,0.03650793650793651,0.03650793650793651,0.011111111111111112,0.014285714285714285,0.011111111111111112,0.01904761904761905,0.0015873015873015873,0.16984126984126985,0.007936507936507936,0.10555555555555556,0.2222222222222222,0.03015873015873016,0.05238095238095238,0.09047619047619047,0.027777777777777776,0.0031746031746031746,0.0031746031746031746,0.004761904761904762
4q,0.02237354085603113,0.10116731517509728,0.03501945525291829,0.03404669260700389,0.0038910505836575876,0.013618677042801557,0.009727626459143969,0.02821011673151751,0.04085603112840467,0.033073929961089495,0.03696498054474708,0.029182879377431907,0.023346303501945526,0.0311284046692607,0.03696498054474708,0.023346303501945526,0.007782101167315175,0.02237354085603113,0.027237354085603113,0.009727626459143969,0.1556420233463035,0.01556420233463035,0.17509727626459143,0.08560311284046693,0.029182879377431907,0.0311284046692607,0.13424124513618677,0.030155642023346304,0.0029182879377431907,0.0038910505836575876,0.005836575875486381
12q,0.021798365122615803,0.1307901907356948,0.02316076294277929,0.04087193460490463,0.0027247956403269754,0.004087193460490463,0.0027247956403269754,0.06335149863760219,0.021798365122615803,0.027247956403269755,0.05040871934604905,0.01907356948228883,0.010899182561307902,0.02997275204359673,0.047683923705722074,0.017711171662125342,0.013623978201634877,0.01634877384196185,0.014986376021798364,0.0027247956403269754,0.1307901907356948,0.02316076294277929,0.16348773841961853,0.10899182561307902,0.04495912806539509,0.035422343324250684,0.09400544959128065,0.02111716621253406,0.006811989100817439,0.006811989100817439,0.004087193460490463
9p,0.03317535545023697,0.12322274881516587,0.061611374407582936,0.04028436018957346,0.023696682464454975,0.004739336492890996,0.009478672985781991,0.023696682464454975,0.014218009478672985,0.02843601895734597,0.037914691943127965,0.018957345971563982,0.014218009478672985,0.018957345971563982,0.03317535545023697,0.037914691943127965,0.014218009478672985,0.004739336492890996,0.014218009478672985,0.004739336492890996,0.20853080568720378,0.009478672985781991,0.17772511848341233,0.07582938388625593,0.03317535545023697,0.04265402843601896,0.10900473933649289,0.04265402843601896,0.0071090047393364926,0.0,0.0
11p,0.019721577726218097,0.1136890951276102,0.030162412993039442,0.02320185614849188,0.01160092807424594,0.0069605568445475635,0.004640371229698376,0.06496519721577726,0.02320185614849188,0.03480278422273782,0.03248259860788863,0.018561484918793503,0.0069605568445475635,0.030162412993039442,0.048723897911832945,0.009280742459396751,0.02320185614849188,0.01740139211136891,0.013921113689095127,0.013921113689095127,0.16473317865429235,0.02088167053364269,0.12064965197215777,0.20185614849187936,0.037122969837587005,0.02320185614849188,0.08816705336426914,0.024361948955916472,0.008120649651972157,0.009280742459396751,0.0069605568445475635
13q,0.033123028391167195,0.11041009463722397,0.03785488958990536,0.0473186119873817,0.012618296529968454,0.00946372239747634,0.0031545741324921135,0.050473186119873815,0.022082018927444796,0.04416403785488959,0.025236593059936908,0.028391167192429023,0.022082018927444796,0.028391167192429023,0.07570977917981073,0.012618296529968454,0.00946372239747634,0.015772870662460567,0.015772870662460567,0.00946372239747634,0.138801261829653,0.01892744479495268,0.1529968454258675,0.0946372239747634,0.00946372239747634,0.025236593059936908,0.08832807570977919,0.033123028391167195,0.0015772870662460567,0.00946372239747634,0.006309148264984227
14q,0.009852216748768473,0.14942528735632185,0.014778325123152709,0.03940886699507389,0.008210180623973728,0.0049261083743842365,0.008210180623973728,0.04926108374384237,0.006568144499178982,0.03940886699507389,0.03776683087027915,0.024630541871921183,0.013136288998357963,0.031198686371100164,0.04433497536945813,0.014778325123152709,0.011494252873563218,0.010673234811165846,0.006568144499178982,0.011494252873563218,0.16912972085385877,0.0180623973727422,0.1330049261083744,0.13136288998357964,0.041050903119868636,0.022988505747126436,0.08374384236453201,0.023809523809523808,0.010673234811165846,0.0049261083743842365,0.003284072249589491
