Arm,Del frequency,Amp frequency,Normal tissue expression,Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Fetus development,Childhood development,Young development,TCGA expression,CRISPR essentiality score,RNAI essentiality score,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,Essential gene density (CRISPR),Essential gene density (Nichols)
9q,0.27,0.13,0.39746845634415673,1.4795072447116169,0.9459122930042222,1.4411533842457842,0.085072,1.4511566923672383,-1.2571742487320858,0.5888537849,1.485753922626734,1.542713816883084,1.877742635205219,1.8083196383144635,0.4363785208124348,1.2887195514807992,1.4274215178436302,0.005535055,0.011070111,-0.4524855791772513,-0.1435375887010139,0.0752212389380531
10p,0.22,0.14,0.3144143768584735,1.360403416412621,1.1454053815270622,1.6945465287279955,0.091098,1.511658831193481,-0.9210054137382652,0.7413364977645833,1.4894986261892564,1.5445875752089875,1.6507032174852692,1.7812237393191015,0.3913494892392875,1.209635767462962,1.4671517555408884,0.026315789,0.013157895,-0.4012903871599189,0.0832786733545304,0.0859375
10q,0.245,0.12,0.38548851101605974,1.4652924707181694,0.7934928728380715,1.2820450851467249,0.0815776249999999,1.5332905916675608,-1.4270762695653199,0.41149065527868056,1.5256717474521715,1.6650604382702383,1.9092847370142043,1.797448263655558,0.4751311110778621,1.2952128879411533,1.395698931869068,0.014571949,0.010928962,-0.3915434822563754,-0.5967298966572989,0.0570824524312896
11p,0.18,0.095,0.33000668823196866,1.478201239790164,1.0013724376631288,1.68873526169142,0.09976125,1.5199580075673764,-1.2078593989758288,0.4935307952999999,1.5140729169265266,1.6773661209749082,1.821947665619576,1.901164062071827,0.40248406613762144,1.3227427736736648,1.4319591949937711,0.009302326,0.009302326,-0.3571216895052375,-0.122684684044873,0.0730478589420654
11q,0.195,0.105,0.4493147665400747,1.485750091758799,0.9289042058618008,1.5236545204336314,0.0825045,1.5563240101762026,-1.071218271250132,0.5699769261541469,1.5052607855324611,1.605626422214776,1.862737556037397,1.754751649620937,0.3938746217294794,1.0143417888203858,1.3453948556294175,0.008557457,0.006112469,-0.44767004392077614,-0.6427563196834788,0.0967741935483871
12p,0.17,0.23,0.38699436810977206,1.5178884096549168,1.314155863738066,1.4579103669254858,0.09689775,1.4400907357134365,-1.2474498095323556,0.5579856873166666,1.5459841026738883,1.6554797938531052,1.7927292290893333,1.8477687134461007,0.45287905037702714,1.251800004266908,1.2808076683918042,0.014492754,0.025362319,-0.3628991610984683,-0.5499902835575792,0.0653061224489796
12q,0.125,0.20500000000000002,0.42808281081906907,1.4403640025290558,0.6468588397850272,1.6038260060752185,0.0801835,1.4282151702860224,-1.282436733200479,0.44798455424000005,1.5052950380880066,1.6455806394223451,1.908433071328216,1.8595189769049336,0.3750572250986582,1.2015303311026806,1.3940105312209234,0.016736402,0.018131102,-0.4376211128226219,-0.5464947934522011,0.0718654434250764
13q,0.3,0.12,0.4065336285958162,1.4361729490233661,0.8137275181226602,1.3981966924197842,0.0769354999999999,1.4398912634922454,-0.9234090406803162,0.47798641028807043,1.5026688804298174,1.7265485069182942,1.7988304505540091,1.9310317804185724,0.4147351348012236,1.2253500079264295,1.3229911983973437,0.02970297,0.01980198,-0.3328548928129686,-0.07072265526514801,0.0610687022900763
14q,0.265,0.155,0.3893497495353897,1.4242279870934493,0.9305362129550708,1.6744819438559182,0.076068,1.461565503053218,-1.338195389715366,0.4782925187601793,1.566068430296357,1.6217544486958562,1.882606412643572,1.7022891408806564,0.3782558252232583,1.0561087054724494,1.4415778849180116,0.020689655,0.00862069,-0.31821176130329315,-0.5680605401786514,0.0898661567877629
15q,0.20500000000000002,0.11,0.35206946572282444,1.489028324520586,1.1046984198441518,1.6426653021116415,0.089488,1.4760871051131734,-1.1712319682839165,0.455261444030878,1.3861388479796606,1.5403948783177226,1.830645623698832,1.702628347505058,0.3857528753162093,1.2758374875582925,1.4798838000772456,0.022140221,0.009225092,-0.4589227755976774,-0.4018915947523452,0.080338266384778
16p,0.17,0.19,0.3687238436934501,1.4492144904948274,0.9574206186914138,1.3797306568924215,0.086174625,1.4362656715764444,-1.3116770289143633,0.5745324594583334,1.5656740558197653,1.50619385821894,1.8820678956343704,1.7953747619857814,0.5156894924332012,1.291994804461604,1.5080897754722355,0.009638554,0.009638554,-0.330878975912157,0.042233602239406746,0.1093333333333333
