Chromosome_arm,ovary,blood,colorectal,skin,lung,urinary-tract,kidney,breast,pancreas,plasma-cell,central-nervous-system,soft-tissue,lymphocyte,bone,fibroblast,gastric,thyroid,peripheral-nervous-system,prostate,bile-duct,uterus,upper-aerodigestive,esophagus,liver
15q,0.1053639846743295,0.10919540229885058,0.11877394636015326,0.10727969348659004,0.1053639846743295,0.11494252873563218,0.10919540229885058,0.10344827586206896,0.1111111111111111,0.11877394636015326,0.10727969348659004,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.10727969348659004,0.1053639846743295,0.11302681992337164,0.11494252873563218,0.12835249042145594,0.12260536398467432,0.10919540229885058,0.11494252873563218,0.1111111111111111,0.10727969348659004
16p,0.1569620253164557,0.1569620253164557,0.1518987341772152,0.16455696202531644,0.1518987341772152,0.1620253164556962,0.16455696202531644,0.1620253164556962,0.15443037974683543,0.15949367088607594,0.15949367088607594,0.15443037974683543,0.15012722646310434,0.1620253164556962,0.16455696202531644,0.1518987341772152,0.15949367088607594,0.1569620253164557,0.15949367088607594,0.20759493670886076,0.16455696202531644,0.15949367088607594,0.14177215189873418,0.16962025316455695
16q,0.14285714285714285,0.15451895043731778,0.1457725947521866,0.13994169096209913,0.14285714285714285,0.14868804664723032,0.15451895043731778,0.15451895043731778,0.13994169096209913,0.15451895043731778,0.14868804664723032,0.1282798833819242,0.15542521994134897,0.1457725947521866,0.1661807580174927,0.14868804664723032,0.14868804664723032,0.14285714285714285,0.15743440233236153,0.16326530612244897,0.16034985422740525,0.15160349854227406,0.14285714285714285,0.14868804664723032
17p,0.1118421052631579,0.10855263157894737,0.10855263157894737,0.10526315789473684,0.10526315789473684,0.11842105263157894,0.10526315789473684,0.125,0.10855263157894737,0.10526315789473684,0.10855263157894737,0.10526315789473684,0.11920529801324503,0.10197368421052631,0.125,0.10855263157894737,0.12171052631578948,0.09868421052631579,0.12171052631578948,0.14144736842105263,0.10855263157894737,0.10855263157894737,0.10197368421052631,0.10855263157894737
17q,0.14741035856573706,0.1460823373173971,0.16334661354581673,0.1553784860557769,0.14741035856573706,0.150066401062417,0.15405046480743692,0.15670650730411687,0.15405046480743692,0.15670650730411687,0.15272244355909695,0.14873837981407703,0.15712383488681758,0.15803452855245684,0.14475431606905712,0.1553784860557769,0.1341301460823373,0.16733067729083664,0.16733067729083664,0.15670650730411687,0.14475431606905712,0.16600265604249667,0.15139442231075698,0.1460823373173971
18p,0.12698412698412698,0.12698412698412698,0.14285714285714285,0.12698412698412698,0.14285714285714285,0.12698412698412698,0.14285714285714285,0.12698412698412698,0.12698412698412698,0.14285714285714285,0.12698412698412698,0.14285714285714285,0.12698412698412698,0.14285714285714285,0.12698412698412698,0.12698412698412698,0.1111111111111111,0.14285714285714285,0.14285714285714285,,0.12698412698412698,0.12698412698412698,0.12698412698412698,0.14285714285714285
18q,0.07446808510638298,0.0851063829787234,0.07446808510638298,0.0797872340425532,0.0797872340425532,0.0797872340425532,0.06914893617021277,0.0797872340425532,0.07446808510638298,0.06914893617021277,0.0797872340425532,0.0797872340425532,0.07526881720430108,0.07446808510638298,0.06382978723404255,0.09042553191489362,0.06914893617021277,0.0851063829787234,0.0797872340425532,,0.06914893617021277,0.09042553191489362,0.09042553191489362,0.0851063829787234
19p,0.12920353982300886,0.1256637168141593,0.12035398230088495,0.12035398230088495,0.11858407079646018,0.1256637168141593,0.12035398230088495,0.12035398230088495,0.12743362831858407,0.13451327433628318,0.13097345132743363,0.12212389380530973,0.13274336283185842,0.12212389380530973,0.1415929203539823,0.12212389380530973,0.13982300884955753,0.13097345132743363,0.13451327433628318,0.12035398230088495,0.1415929203539823,0.13274336283185842,0.12920353982300886,0.13097345132743363
19q,0.08602150537634409,0.07795698924731183,0.07661290322580645,0.07661290322580645,0.08333333333333333,0.08870967741935484,0.07526881720430108,0.0739247311827957,0.07795698924731183,0.08333333333333333,0.08198924731182795,0.0846774193548387,0.0862533692722372,0.08736559139784947,0.09543010752688172,0.08333333333333333,0.0793010752688172,0.0793010752688172,0.08736559139784947,0.08602150537634409,0.08602150537634409,0.08198924731182795,0.07795698924731183,0.08198924731182795
2p,0.13729977116704806,0.13272311212814644,0.14187643020594964,0.13958810068649885,0.14187643020594964,0.13958810068649885,0.15560640732265446,0.14187643020594964,0.13272311212814644,0.14416475972540047,0.13043478260869565,0.12356979405034325,0.1425287356321839,0.13043478260869565,0.16704805491990846,0.14416475972540047,0.14645308924485126,0.14416475972540047,0.13729977116704806,0.14874141876430205,0.14416475972540047,0.15331807780320367,0.13958810068649885,0.13272311212814644
